time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-21T09:10:29.910Z,36.6076667,-118.0213333,1.78,2.47,ml,33,68,0.174,0.23,ci,ci37915000,2017-06-21T16:01:11.538Z,"5km ENE of Lone Pine, CA",earthquake,0.29,0.9,0.182,54,reviewed,ci,ci
2017-06-21T09:05:25.870Z,40.5883333,-124.7493333,21.98,2.46,md,16,260,0.3335,0.1,nc,nc72818936,2017-06-22T05:04:02.342Z,"41km W of Ferndale, California",earthquake,0.93,0.98,0.21,13,reviewed,nc,nc
2017-06-21T08:13:49.460Z,35.3177,140.5681,35.86,4.1,mb,,154,2.059,0.57,us,us20009nxp,2017-06-21T21:18:51.636Z,"18km ENE of Ohara, Japan",earthquake,7.3,12,0.198,7,reviewed,us,us
2017-06-21T08:01:32.720Z,38.1995,-81.3985,16.61,2.7,md,17,70,0.405,0.38,se,se60172362,2017-06-21T13:35:45.270Z,"6km WNW of Montgomery, West Virginia",earthquake,0.63,3.88,0.107,11,reviewed,se,se
2017-06-21T07:26:46.237Z,67.4924,-143.7545,0.1,2.5,ml,,,,0.84,ak,ak16210320,2017-06-21T07:34:07.473Z,"103km SE of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-21T07:25:39.270Z,24.6751,121.9619,60.9,4.2,mb,,75,0.516,0.67,us,us20009nxl,2017-06-21T21:07:08.003Z,"14km NE of Su'ao, Taiwan",earthquake,4,6.4,0.141,14,reviewed,us,us
2017-06-21T05:25:07.820Z,0.977,98.3729,59.36,4.7,mb,,151,0.86,0.71,us,us20009nu7,2017-06-21T07:40:13.040Z,"95km SSW of Sibolga, Indonesia",earthquake,9.1,9.2,0.138,16,reviewed,us,us
2017-06-21T05:23:08.160Z,36.375,-92.9976667,4.81,2.52,md,13,84,0.0005788,0.07,nm,nm60172352,2017-06-21T14:56:23.742Z,"18km NNE of Harrison, Arkansas",earthquake,0.41,0.26,0.154,10,reviewed,nm,nm
2017-06-21T05:20:00.570Z,38.4008331,-122.4496689,7.5,2.49,md,45,63,0.05591,0.12,nc,nc72818886,2017-06-21T23:45:31.743Z,"7km W of Yountville, California",earthquake,0.22,0.51,0.14,43,automatic,nc,nc
2017-06-21T03:28:13.647Z,63.106,-150.896,124.6,3.5,ml,,,,0.6,ak,ak16210237,2017-06-21T03:52:37.033Z,"96km NNW of Talkeetna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-06-21T01:09:30.475Z,60.8953,-152.445,110.4,2.7,ml,,,,0.64,ak,ak16210207,2017-06-21T01:16:16.913Z,"48km NNE of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-20T23:01:43.970Z,35.4973,-97.012,5.43,2.5,mb_lg,,62,0.075,0.34,us,us20009ntj,2017-06-21T11:37:08.372Z,"9km NE of McLoud, Oklahoma",earthquake,0.7,2.8,0.078,43,reviewed,us,us
2017-06-20T22:14:57.810Z,37.2654,-98.1189,3.9,3.1,mb_lg,,66,0.124,0.3,us,us20009ntg,2017-06-21T18:23:31.932Z,"8km WSW of Harper, Kansas",earthquake,1.9,5.4,0.055,86,reviewed,us,us
2017-06-20T20:43:41.800Z,-7.6408,127.5574,174.92,4.6,mb,,70,3.722,1.16,us,us20009nsy,2017-06-20T21:03:43.040Z,"241km ENE of Dili, East Timor",earthquake,8.7,9.3,0.114,23,reviewed,us,us
2017-06-20T20:34:00.720Z,13.9963,-91.1846,54.39,4.2,mb,,192,0.721,1.6,us,us20009nsv,2017-06-22T12:43:09.197Z,"17km WSW of La Gomera, Guatemala",earthquake,9.3,15.2,0.141,14,reviewed,us,us
2017-06-20T20:33:56.540Z,-6.3276,150.3905,77.38,4.5,mb,,130,4.426,0.95,us,us20009nss,2017-06-20T20:56:39.040Z,"90km SSE of Kimbe, Papua New Guinea",earthquake,13.1,10.5,0.131,17,reviewed,us,us
2017-06-20T19:01:17.410Z,19.4122,-74.149,10,4.5,mb,,42,1.04,1.23,us,us20009nru,2017-06-21T06:54:14.285Z,"84km N of Jeremie, Haiti",earthquake,4.3,1.9,0.096,32,reviewed,us,us
2017-06-20T18:21:42.090Z,-4.2092,102.0433,74.84,5.1,mb,,54,0.922,1.05,us,us20009nrs,2017-06-20T18:50:34.294Z,"51km SSW of Bengkulu, Indonesia",earthquake,7.5,6.7,0.069,68,reviewed,us,us
2017-06-20T16:54:05.300Z,40.54,-124.2435,25.69,2.46,md,22,145,0.09632,0.08,nc,nc72818711,2017-06-21T05:19:02.315Z,"4km SSE of Ferndale, California",earthquake,0.4,0.57,0.247,29,reviewed,nc,nc
2017-06-20T16:03:35.358Z,62.7588,-148.3025,53.9,3.8,ml,,,,0.66,ak,ak16209844,2017-06-20T20:15:33.095Z,"77km SSE of Cantwell, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-06-20T15:27:29.530Z,84.9774,6.6906,10,4.9,mb,,63,6.139,0.73,us,us20009nra,2017-06-20T18:36:54.040Z,"North of Svalbard",earthquake,9.7,1.9,0.034,274,reviewed,us,us
