cds	rtype	sname	dname	cname	enroll12	NumTstTakr	AvgScrRead	AvgScrMath	AvgScrWrite	NumGE1500	PctGE1500
10739650000000	D		Central Unified	Fresno	1139	380	451	445	445	100	26.32
10739651030386	S	Central Unified Alternative/Opportunity	Central Unified	Fresno	154	0	NA	NA	NA	NA	NA
10739651030626	S	Central High East Campus	Central Unified	Fresno	927	380	451	445	445	100	26.32
10739990000000	D		Kerman Unified	Fresno	303	119	448	435	442	27	22.69
10739991033430	S	Kerman High	Kerman Unified	Fresno	285	119	448	435	442	27	22.69
10751270000000	D		Mendota Unified	Fresno	156	62	394	395	387	4	6.45
10751271030493	S	Mendota High	Mendota Unified	Fresno	150	62	394	395	387	4	6.45
10752340000000	D		Golden Plains Unified	Fresno	127	43	393	397	402	5	11.63
10752341037456	S	Tranquillity High	Golden Plains Unified	Fresno	117	43	393	397	402	5	11.63
10752750000000	D		Sierra Unified	Fresno	149	54	515	500	489	28	51.85
10752751036938	S	Sierra High	Sierra Unified	Fresno	139	54	515	500	489	28	51.85
10754080000000	D		Riverdale Joint Unified	Fresno	118	62	416	439	425	9	14.52
10754081035575	S	Riverdale High	Riverdale Joint Unified	Fresno	111	62	416	439	425	9	14.52
10755980000000	D		Caruthers Unified	Fresno	135	61	421	425	403	6	9.84
10755981030535	S	Caruthers High	Caruthers Unified	Fresno	124	61	421	425	403	6	9.84
10767780000000	D		Washington Unified	Fresno	348	121	400	402	401	12	9.92
10767780122473	S	Elm High	Washington Unified	Fresno	70	0	NA	NA	NA	NA	NA
10767781030774	S	W. E. B. DuBois Public Charter	Washington Unified	Fresno	27	0	NA	NA	NA	NA	NA
10767781038306	S	Washington High	Washington Unified	Fresno	242	121	400	402	401	12	9.92
11000000000000	C			Glenn	421	109	451	459	442	19	17.43
11101160000000	D		Glenn County Office of Educati	Glenn	33	0	NA	NA	NA	NA	NA
11626460000000	D		Princeton Joint Unified	Glenn	21	0	NA	NA	NA	NA	NA
11626461136209	S	Princeton Junior-Senior High	Princeton Joint Unified	Glenn	21	0	NA	NA	NA	NA	NA
11626530000000	D		Stony Creek Joint Unified	Glenn	8	3	*	*	*	*	*
11626531132109	S	Elk Creek Junior-Senior High	Stony Creek Joint Unified	Glenn	8	3	*	*	*	*	*
11626610000000	D		Willows Unified	Glenn	127	38	427	451	423	5	13.16
11626611132851	S	Willows High	Willows Unified	Glenn	114	38	427	451	423	5	13.16
11754810000000	D		Orland Joint Unified	Glenn	174	43	454	467	450	8	18.60
11754811135656	S	Orland High	Orland Joint Unified	Glenn	151	43	454	467	450	8	18.60
11765620000000	D		Hamilton Unified	Glenn	58	25	482	471	456	6	24.00
11765621133701	S	Hamilton High	Hamilton Unified	Glenn	51	25	482	471	456	6	24.00
12000000000000	C			Humboldt	1296	413	522	516	501	222	53.75
12101240000000	D		Humboldt County Office of Educ	Humboldt	37	29	614	537	576	26	89.66
12101240115097	S	Northcoast Preparatory and Performing Ar	Humboldt County Office of Educ	Humboldt	32	29	614	537	576	26	89.66
12626870000000	D		Northern Humboldt Union High	Humboldt	375	144	535	524	509	83	57.64
12626870107110	S	Six Rivers Charter High	Northern Humboldt Union High	Humboldt	22	6	*	*	*	*	*
12626871230705	S	Arcata High	Northern Humboldt Union High	Humboldt	166	69	548	543	521	45	65.22
12626871235209	S	McKinleyville High	Northern Humboldt Union High	Humboldt	146	69	515	498	492	32	46.38
12628100000000	D		Fortuna Union High	Humboldt	264	84	525	527	502	46	54.76
12628100108688	S	Academy of the Redwoods	Fortuna Union High	Humboldt	34	22	566	563	540	18	81.82
12628101233402	S	Fortuna Union High	Fortuna Union High	Humboldt	179	62	510	514	489	28	45.16
12629010000000	D		Klamath-Trinity Joint Unified	Humboldt	68	18	456	459	443	5	27.78
12629011234004	S	Hoopa Valley High	Klamath-Trinity Joint Unified	Humboldt	49	18	456	459	443	5	27.78
12629270000000	D		Loleta Union Elementary	Humboldt	37	0	NA	NA	NA	NA	NA
12629271230150	S	Pacific View Charter	Loleta Union Elementary	Humboldt	37	0	NA	NA	NA	NA	NA
12630320000000	D		South Bay Union Elementary	Humboldt	41	5	*	*	*	*	*
12630320111203	S	Alder Grove Charter	South Bay Union Elementary	Humboldt	41	5	*	*	*	*	*
12630400000000	D		Southern Humboldt Joint Unifie	Humboldt	56	17	503	479	485	8	47.06
12630401237007	S	South Fork Junior - Senior High	Southern Humboldt Joint Unifie	Humboldt	48	17	503	479	485	8	47.06
12753740000000	D		Ferndale Unified	Humboldt	36	20	481	491	486	7	35.00
12753741232909	S	Ferndale High	Ferndale Unified	Humboldt	36	20	481	491	486	7	35.00
12753820000000	D		Mattole Unified	Humboldt	67	6	*	*	*	*	*
12753821230135	S	Mattole Valley Charter (#159)	Mattole Unified	Humboldt	67	6	*	*	*	*	*
12755150000000	D		Eureka City Schools	Humboldt	315	90	487	516	480	41	45.56
12755151232206	S	Eureka Senior High	Eureka City Schools	Humboldt	253	90	487	516	480	41	45.56
13000000000000	C			Imperial	2543	816	467	473	462	270	33.09
13101320000000	D		Imperial County Office of Educ	Imperial	68	0	NA	NA	NA	NA	NA
13630810000000	D		Brawley Union High	Imperial	441	129	476	482	469	44	34.11
13630811331404	S	Brawley High	Brawley Union High	Imperial	333	129	476	482	469	44	34.11
13630990000000	D		Calexico Unified	Imperial	725	220	444	446	446	60	27.27
13630991332204	S	Calexico High	Calexico Unified	Imperial	642	220	444	446	446	60	27.27
13631070000000	D		Calipatria Unified	Imperial	61	21	417	440	419	3	14.29
13631071332501	S	Calipatria High	Calipatria Unified	Imperial	61	21	417	440	419	3	14.29
13631150000000	D		Central Union High	Imperial	886	305	478	486	469	115	37.70
13631151330133	S	Southwest High	Central Union High	Imperial	433	160	479	491	471	63	39.38
13631151333004	S	Central Union High	Central Union High	Imperial	389	145	478	481	468	52	35.86
13631490000000	D		Holtville Unified	Imperial	114	42	466	473	459	10	23.81
13631491335306	S	Holtville High	Holtville Unified	Imperial	107	42	466	473	459	10	23.81
13631640000000	D		Imperial Unified	Imperial	218	96	477	489	476	37	38.54
13631641335900	S	Imperial High	Imperial Unified	Imperial	207	96	477	489	476	37	38.54
13632140000000	D		San Pasqual Valley Unified	Imperial	30	3	*	*	*	*	*
13632141337609	S	San Pasqual Valley High	San Pasqual Valley Unified	Imperial	29	3	*	*	*	*	*
14000000000000	C			Inyo	1053	83	513	513	502	41	49.40
14101400000000	D		Inyo County Office of Educatio	Inyo	817	1	*	*	*	*	*
14101400117994	S	YouthBuild Charter School of California	Inyo County Office of Educatio	Inyo	378	1	*	*	*	*	*
14101400121301	S	YouthBuild Charter School of California	Inyo County Office of Educatio	Inyo	239	0	NA	NA	NA	NA	NA
14101400128447	S	The Education Corps	Inyo County Office of Educatio	Inyo	192	0	NA	NA	NA	NA	NA
14632480000000	D		Big Pine Unified	Inyo	7	2	*	*	*	*	*
14632481431352	S	Big Pine High	Big Pine Unified	Inyo	7	2	*	*	*	*	*
14632890000000	D		Lone Pine Unified	Inyo	24	7	*	*	*	*	*
14632891434901	S	Lone Pine High	Lone Pine Unified	Inyo	23	7	*	*	*	*	*
14632970000000	D		Owens Valley Unified	Inyo	5	2	*	*	*	*	*
14632971436203	S	Owens Valley High	Owens Valley Unified	Inyo	5	2	*	*	*	*	*
14766870000000	D		Bishop Unified	Inyo	198	71	517	523	509	38	53.52
14766870119081	S	Bishop Independent Study	Bishop Unified	Inyo	14	0	NA	NA	NA	NA	NA
14766871431600	S	Bishop Union High	Bishop Unified	Inyo	177	71	517	523	509	38	53.52
15000000000000	C			Kern	13412	4076	464	474	455	1309	32.11
15101570000000	D		Kern County Office of Educatio	Kern	754	14	550	530	507	8	57.14
15101570119669	S	Paramount Academy	Kern County Office of Educatio	Kern	53	0	NA	NA	NA	NA	NA
15101571530310	S	Kern County Community	Kern County Office of Educatio	Kern	454	2	*	*	*	*	*
15101571530492	S	Valley Oaks Charter	Kern County Office of Educatio	Kern	68	12	551	534	517	7	58.33
15634120000000	D		Delano Joint Union High	Kern	988	330	436	457	437	69	20.91
